X,Y,Z
5.633870000000000000e+05,4.375943000000000000e+06,1.045339199999999913e+00
5.633890000000000000e+05,4.375943000000000000e+06,6.236458580000000529e-01
5.633790000000000000e+05,4.375945000000000000e+06,1.985628170000000026e+00
5.633810000000000000e+05,4.375945000000000000e+06,1.897176879999999954e+00
5.633830000000000000e+05,4.375945000000000000e+06,1.809093400000000074e+00
5.633850000000000000e+05,4.375945000000000000e+06,1.630564300000000078e+00
5.633870000000000000e+05,4.375945000000000000e+06,1.275135659999999893e+00
5.633890000000000000e+05,4.375945000000000000e+06,8.294778259999999737e-01
5.633910000000000000e+05,4.375945000000000000e+06,4.610247210000000262e-01
5.633930000000000000e+05,4.375945000000000000e+06,2.623253649999999770e-01
5.633710000000000000e+05,4.375947000000000000e+06,1.983805210000000097e+00
5.633730000000000000e+05,4.375947000000000000e+06,2.002532040000000180e+00
5.633750000000000000e+05,4.375947000000000000e+06,2.032508360000000014e+00
5.633770000000000000e+05,4.375947000000000000e+06,2.012248070000000055e+00
5.633790000000000000e+05,4.375947000000000000e+06,1.950117389999999951e+00
5.633810000000000000e+05,4.375947000000000000e+06,1.894216300000000075e+00
5.633830000000000000e+05,4.375947000000000000e+06,1.848906299999999892e+00
5.633850000000000000e+05,4.375947000000000000e+06,1.754007000000000094e+00
5.633870000000000000e+05,4.375947000000000000e+06,1.479936450000000070e+00
5.633890000000000000e+05,4.375947000000000000e+06,1.064261040000000103e+00
5.633910000000000000e+05,4.375947000000000000e+06,6.858572859999999549e-01
5.633930000000000000e+05,4.375947000000000000e+06,4.368837230000000016e-01
5.633950000000000000e+05,4.375947000000000000e+06,3.161902939999999829e-01
5.633630000000000000e+05,4.375949000000000000e+06,2.131433439999999901e+00
5.633650000000000000e+05,4.375949000000000000e+06,2.036038099999999851e+00
5.633670000000000000e+05,4.375949000000000000e+06,2.032749780000000062e+00
5.633690000000000000e+05,4.375949000000000000e+06,2.020791739999999947e+00
5.633710000000000000e+05,4.375949000000000000e+06,1.992449160000000052e+00
5.633730000000000000e+05,4.375949000000000000e+06,1.986351999999999896e+00
5.633750000000000000e+05,4.375949000000000000e+06,1.997363800000000023e+00
5.633770000000000000e+05,4.375949000000000000e+06,1.974112529999999976e+00
5.633790000000000000e+05,4.375949000000000000e+06,1.926886319999999930e+00
5.633810000000000000e+05,4.375949000000000000e+06,1.911521800000000049e+00
5.633830000000000000e+05,4.375949000000000000e+06,1.907256030000000102e+00
5.633850000000000000e+05,4.375949000000000000e+06,1.842243360000000107e+00
5.633870000000000000e+05,4.375949000000000000e+06,1.643516259999999951e+00
5.633890000000000000e+05,4.375949000000000000e+06,1.313241389999999953e+00
5.633910000000000000e+05,4.375949000000000000e+06,9.426383820000000524e-01
5.633930000000000000e+05,4.375949000000000000e+06,6.512355650000000162e-01
5.633950000000000000e+05,4.375949000000000000e+06,4.399805900000000047e-01
5.633970000000000000e+05,4.375949000000000000e+06,2.869771139999999776e-01
5.633550000000000000e+05,4.375951000000000000e+06,2.443090250000000019e+00
5.633570000000000000e+05,4.375951000000000000e+06,2.391199369999999824e+00
5.633590000000000000e+05,4.375951000000000000e+06,2.318563520000000100e+00
5.633610000000000000e+05,4.375951000000000000e+06,2.258598950000000105e+00
5.633630000000000000e+05,4.375951000000000000e+06,2.187814480000000117e+00
5.633650000000000000e+05,4.375951000000000000e+06,2.093659140000000196e+00
5.633670000000000000e+05,4.375951000000000000e+06,2.057843930000000210e+00
5.633690000000000000e+05,4.375951000000000000e+06,2.024326690000000095e+00
5.633710000000000000e+05,4.375951000000000000e+06,1.986201399999999895e+00
5.633730000000000000e+05,4.375951000000000000e+06,1.960474730000000054e+00
5.633750000000000000e+05,4.375951000000000000e+06,1.968053089999999949e+00
5.633770000000000000e+05,4.375951000000000000e+06,1.961463879999999937e+00
5.633790000000000000e+05,4.375951000000000000e+06,1.939713100000000079e+00
5.633810000000000000e+05,4.375951000000000000e+06,1.948350400000000038e+00
5.633830000000000000e+05,4.375951000000000000e+06,1.931096460000000015e+00
5.633850000000000000e+05,4.375951000000000000e+06,1.863459149999999953e+00
5.633870000000000000e+05,4.375951000000000000e+06,1.752076839999999969e+00
5.633890000000000000e+05,4.375951000000000000e+06,1.550700940000000028e+00
5.633910000000000000e+05,4.375951000000000000e+06,1.234880870000000019e+00
5.633930000000000000e+05,4.375951000000000000e+06,9.131538879999999692e-01
5.633950000000000000e+05,4.375951000000000000e+06,6.238534610000000535e-01
5.633970000000000000e+05,4.375951000000000000e+06,4.107151499999999733e-01
5.633990000000000000e+05,4.375951000000000000e+06,2.722344489999999895e-01
5.633490000000000000e+05,4.375953000000000000e+06,2.138459870000000151e+00
5.633510000000000000e+05,4.375953000000000000e+06,2.308471139999999977e+00
5.633530000000000000e+05,4.375953000000000000e+06,2.508158930000000009e+00
5.633550000000000000e+05,4.375953000000000000e+06,2.571146070000000172e+00
5.633570000000000000e+05,4.375953000000000000e+06,2.486675690000000216e+00
5.633590000000000000e+05,4.375953000000000000e+06,2.394485749999999857e+00
5.633610000000000000e+05,4.375953000000000000e+06,2.321727280000000171e+00
5.633630000000000000e+05,4.375953000000000000e+06,2.233332069999999892e+00
5.633650000000000000e+05,4.375953000000000000e+06,2.138145290000000198e+00
5.633670000000000000e+05,4.375953000000000000e+06,2.083589429999999965e+00
5.633690000000000000e+05,4.375953000000000000e+06,2.033547469999999802e+00
5.633710000000000000e+05,4.375953000000000000e+06,1.985153589999999912e+00
5.633730000000000000e+05,4.375953000000000000e+06,1.951870149999999970e+00
5.633750000000000000e+05,4.375953000000000000e+06,1.947965120000000105e+00
5.633770000000000000e+05,4.375953000000000000e+06,1.953989629999999922e+00
5.633790000000000000e+05,4.375953000000000000e+06,1.969731349999999992e+00
5.633810000000000000e+05,4.375953000000000000e+06,1.949598319999999996e+00
5.633830000000000000e+05,4.375953000000000000e+06,1.874132469999999939e+00
5.633850000000000000e+05,4.375953000000000000e+06,1.824730060000000043e+00
5.633870000000000000e+05,4.375953000000000000e+06,1.811019549999999922e+00
5.633890000000000000e+05,4.375953000000000000e+06,1.750159330000000013e+00
5.633910000000000000e+05,4.375953000000000000e+06,1.544532629999999962e+00
5.633930000000000000e+05,4.375953000000000000e+06,1.214658229999999950e+00
5.633950000000000000e+05,4.375953000000000000e+06,8.772072419999999981e-01
5.633970000000000000e+05,4.375953000000000000e+06,6.039677660000000170e-01
5.633990000000000000e+05,4.375953000000000000e+06,4.081504550000000231e-01
5.634010000000000000e+05,4.375953000000000000e+06,2.848649790000000182e-01
5.633450000000000000e+05,4.375955000000000000e+06,2.274209969999999803e+00
5.633470000000000000e+05,4.375955000000000000e+06,2.355055220000000116e+00
5.633490000000000000e+05,4.375955000000000000e+06,2.393117220000000156e+00
5.633510000000000000e+05,4.375955000000000000e+06,2.481655359999999977e+00
5.633530000000000000e+05,4.375955000000000000e+06,2.605766500000000097e+00
5.633550000000000000e+05,4.375955000000000000e+06,2.650764679999999984e+00
5.633570000000000000e+05,4.375955000000000000e+06,2.574893340000000030e+00
5.633590000000000000e+05,4.375955000000000000e+06,2.462315799999999832e+00
5.633610000000000000e+05,4.375955000000000000e+06,2.358428949999999968e+00
5.633630000000000000e+05,4.375955000000000000e+06,2.247052570000000138e+00
5.633650000000000000e+05,4.375955000000000000e+06,2.141155630000000087e+00
5.633670000000000000e+05,4.375955000000000000e+06,2.072731919999999839e+00
5.633690000000000000e+05,4.375955000000000000e+06,2.013387170000000115e+00
5.633710000000000000e+05,4.375955000000000000e+06,1.973283750000000003e+00
5.633730000000000000e+05,4.375955000000000000e+06,1.948919850000000009e+00
5.633750000000000000e+05,4.375955000000000000e+06,1.934317660000000050e+00
5.633770000000000000e+05,4.375955000000000000e+06,1.934284469999999923e+00
5.633790000000000000e+05,4.375955000000000000e+06,1.961866700000000074e+00
