X,Y,Z
5.633790000000000000e+05,4.375945000000000000e+06,5.248915920000000179e-01
5.633810000000000000e+05,4.375945000000000000e+06,4.305216049999999739e-01
5.633830000000000000e+05,4.375945000000000000e+06,3.387104980000000265e-01
5.633850000000000000e+05,4.375945000000000000e+06,2.379917340000000103e-01
5.633710000000000000e+05,4.375947000000000000e+06,1.414311660000000082e+00
5.633730000000000000e+05,4.375947000000000000e+06,1.183585509999999896e+00
5.633750000000000000e+05,4.375947000000000000e+06,9.434706299999999768e-01
5.633770000000000000e+05,4.375947000000000000e+06,7.466542870000000276e-01
5.633790000000000000e+05,4.375947000000000000e+06,6.067541180000000089e-01
5.633810000000000000e+05,4.375947000000000000e+06,4.964485719999999769e-01
5.633830000000000000e+05,4.375947000000000000e+06,3.804928699999999830e-01
5.633850000000000000e+05,4.375947000000000000e+06,2.715945009999999882e-01
5.633870000000000000e+05,4.375947000000000000e+06,2.159240139999999974e-01
5.633630000000000000e+05,4.375949000000000000e+06,1.943798020000000015e+00
5.633650000000000000e+05,4.375949000000000000e+06,1.916868280000000091e+00
5.633670000000000000e+05,4.375949000000000000e+06,1.862196329999999955e+00
5.633690000000000000e+05,4.375949000000000000e+06,1.765566860000000071e+00
5.633710000000000000e+05,4.375949000000000000e+06,1.605431719999999896e+00
5.633730000000000000e+05,4.375949000000000000e+06,1.378807069999999912e+00
5.633750000000000000e+05,4.375949000000000000e+06,1.114732140000000093e+00
5.633770000000000000e+05,4.375949000000000000e+06,8.780933079999999613e-01
5.633790000000000000e+05,4.375949000000000000e+06,7.119417209999999718e-01
5.633810000000000000e+05,4.375949000000000000e+06,5.779645389999999994e-01
5.633830000000000000e+05,4.375949000000000000e+06,4.341221789999999969e-01
5.633850000000000000e+05,4.375949000000000000e+06,3.118894139999999759e-01
5.633870000000000000e+05,4.375949000000000000e+06,2.584081309999999854e-01
5.633550000000000000e+05,4.375951000000000000e+06,1.629996070000000019e+00
5.633570000000000000e+05,4.375951000000000000e+06,1.842988759999999893e+00
5.633590000000000000e+05,4.375951000000000000e+06,1.982918450000000110e+00
5.633610000000000000e+05,4.375951000000000000e+06,2.038693009999999806e+00
5.633630000000000000e+05,4.375951000000000000e+06,2.043964420000000004e+00
5.633650000000000000e+05,4.375951000000000000e+06,2.032271779999999861e+00
5.633670000000000000e+05,4.375951000000000000e+06,1.997598379999999896e+00
5.633690000000000000e+05,4.375951000000000000e+06,1.924570990000000092e+00
5.633710000000000000e+05,4.375951000000000000e+06,1.787928420000000074e+00
5.633730000000000000e+05,4.375951000000000000e+06,1.572668310000000069e+00
5.633750000000000000e+05,4.375951000000000000e+06,1.306662229999999925e+00
5.633770000000000000e+05,4.375951000000000000e+06,1.048948769999999975e+00
5.633790000000000000e+05,4.375951000000000000e+06,8.540336699999999670e-01
5.633810000000000000e+05,4.375951000000000000e+06,6.959915399999999641e-01
5.633830000000000000e+05,4.375951000000000000e+06,5.276388069999999875e-01
5.633850000000000000e+05,4.375951000000000000e+06,3.890043670000000176e-01
5.633870000000000000e+05,4.375951000000000000e+06,3.216671269999999971e-01
5.633890000000000000e+05,4.375951000000000000e+06,2.944461979999999923e-01
5.633470000000000000e+05,4.375953000000000000e+06,1.189737779999999967e+00
5.633490000000000000e+05,4.375953000000000000e+06,1.396187789999999929e+00
5.633510000000000000e+05,4.375953000000000000e+06,1.580174149999999944e+00
5.633530000000000000e+05,4.375953000000000000e+06,1.732194390000000084e+00
5.633550000000000000e+05,4.375953000000000000e+06,1.875572350000000110e+00
5.633570000000000000e+05,4.375953000000000000e+06,1.988529229999999925e+00
