X,Y,Z
5.633790000000000000e+05,4.375945000000000000e+06,1.012462280000000048e+00
5.633810000000000000e+05,4.375945000000000000e+06,8.143966660000000468e-01
5.633830000000000000e+05,4.375945000000000000e+06,6.532025040000000171e-01
5.633850000000000000e+05,4.375945000000000000e+06,4.997861069999999795e-01
5.633870000000000000e+05,4.375945000000000000e+06,3.262693799999999977e-01
5.633890000000000000e+05,4.375945000000000000e+06,1.312921569999999927e-01
5.633710000000000000e+05,4.375947000000000000e+06,1.859852159999999976e+00
5.633730000000000000e+05,4.375947000000000000e+06,1.696927099999999911e+00
5.633750000000000000e+05,4.375947000000000000e+06,1.505158949999999995e+00
5.633770000000000000e+05,4.375947000000000000e+06,1.288072340000000038e+00
5.633790000000000000e+05,4.375947000000000000e+06,1.063563669999999961e+00
5.633810000000000000e+05,4.375947000000000000e+06,8.579238380000000497e-01
5.633830000000000000e+05,4.375947000000000000e+06,6.869074320000000400e-01
5.633850000000000000e+05,4.375947000000000000e+06,5.286074099999999998e-01
5.633870000000000000e+05,4.375947000000000000e+06,3.612082629999999739e-01
5.633890000000000000e+05,4.375947000000000000e+06,2.006212589999999962e-01
5.633630000000000000e+05,4.375949000000000000e+06,2.204213460000000069e+00
5.633650000000000000e+05,4.375949000000000000e+06,2.132987210000000022e+00
5.633670000000000000e+05,4.375949000000000000e+06,2.075733490000000181e+00
5.633690000000000000e+05,4.375949000000000000e+06,2.003190519999999974e+00
5.633710000000000000e+05,4.375949000000000000e+06,1.889533279999999982e+00
5.633730000000000000e+05,4.375949000000000000e+06,1.737537670000000034e+00
5.633750000000000000e+05,4.375949000000000000e+06,1.556684039999999936e+00
5.633770000000000000e+05,4.375949000000000000e+06,1.348132829999999949e+00
5.633790000000000000e+05,4.375949000000000000e+06,1.125546729999999940e+00
5.633810000000000000e+05,4.375949000000000000e+06,9.146532010000000268e-01
5.633830000000000000e+05,4.375949000000000000e+06,7.334692219999999763e-01
5.633850000000000000e+05,4.375949000000000000e+06,5.689850730000000079e-01
5.633870000000000000e+05,4.375949000000000000e+06,4.090595710000000107e-01
5.633890000000000000e+05,4.375949000000000000e+06,2.689455849999999870e-01
5.633550000000000000e+05,4.375951000000000000e+06,2.226026070000000079e+00
5.633570000000000000e+05,4.375951000000000000e+06,2.292459730000000029e+00
5.633590000000000000e+05,4.375951000000000000e+06,2.318471880000000152e+00
5.633610000000000000e+05,4.375951000000000000e+06,2.283009530000000176e+00
5.633630000000000000e+05,4.375951000000000000e+06,2.210438180000000141e+00
5.633650000000000000e+05,4.375951000000000000e+06,2.143090330000000154e+00
5.633670000000000000e+05,4.375951000000000000e+06,2.087284459999999786e+00
5.633690000000000000e+05,4.375951000000000000e+06,2.021430989999999817e+00
5.633710000000000000e+05,4.375951000000000000e+06,1.921024129999999941e+00
5.633730000000000000e+05,4.375951000000000000e+06,1.783911730000000029e+00
5.633750000000000000e+05,4.375951000000000000e+06,1.617280440000000041e+00
5.633770000000000000e+05,4.375951000000000000e+06,1.422392010000000040e+00
5.633790000000000000e+05,4.375951000000000000e+06,1.207737110000000058e+00
5.633810000000000000e+05,4.375951000000000000e+06,9.932118779999999925e-01
5.633830000000000000e+05,4.375951000000000000e+06,8.001658080000000339e-01
5.633850000000000000e+05,4.375951000000000000e+06,6.326155209999999585e-01
5.633870000000000000e+05,4.375951000000000000e+06,4.825228850000000125e-01
5.633890000000000000e+05,4.375951000000000000e+06,3.546976059999999986e-01
5.633910000000000000e+05,4.375951000000000000e+06,2.617562050000000196e-01
5.633470000000000000e+05,4.375953000000000000e+06,1.979802410000000013e+00
5.633490000000000000e+05,4.375953000000000000e+06,2.046480770000000060e+00
5.633510000000000000e+05,4.375953000000000000e+06,2.120208789999999954e+00
5.633530000000000000e+05,4.375953000000000000e+06,2.196397650000000201e+00
5.633550000000000000e+05,4.375953000000000000e+06,2.260762859999999819e+00
5.633570000000000000e+05,4.375953000000000000e+06,2.299307600000000118e+00
5.633590000000000000e+05,4.375953000000000000e+06,2.308078450000000004e+00
5.633610000000000000e+05,4.375953000000000000e+06,2.275103000000000097e+00
5.633630000000000000e+05,4.375953000000000000e+06,2.213812340000000045e+00
5.633650000000000000e+05,4.375953000000000000e+06,2.155082730000000169e+00
5.633670000000000000e+05,4.375953000000000000e+06,2.103624480000000130e+00
5.633690000000000000e+05,4.375953000000000000e+06,2.044767859999999882e+00
5.633710000000000000e+05,4.375953000000000000e+06,1.960342349999999900e+00
5.633730000000000000e+05,4.375953000000000000e+06,1.842614399999999986e+00
5.633750000000000000e+05,4.375953000000000000e+06,1.692627270000000017e+00
5.633770000000000000e+05,4.375953000000000000e+06,1.512624820000000092e+00
5.633790000000000000e+05,4.375953000000000000e+06,1.306090549999999961e+00
5.633810000000000000e+05,4.375953000000000000e+06,1.086118979999999956e+00
5.633830000000000000e+05,4.375953000000000000e+06,8.809977570000000480e-01
5.633850000000000000e+05,4.375953000000000000e+06,7.148475340000000067e-01
5.633870000000000000e+05,4.375953000000000000e+06,5.774599799999999838e-01
5.633890000000000000e+05,4.375953000000000000e+06,4.568418659999999853e-01
5.633910000000000000e+05,4.375953000000000000e+06,3.540632309999999783e-01
5.633930000000000000e+05,4.375953000000000000e+06,2.689991890000000274e-01
5.633410000000000000e+05,4.375955000000000000e+06,1.764444380000000034e+00
5.633430000000000000e+05,4.375955000000000000e+06,1.899644560000000038e+00
5.633450000000000000e+05,4.375955000000000000e+06,2.038028670000000098e+00
5.633470000000000000e+05,4.375955000000000000e+06,2.109591669999999919e+00
5.633490000000000000e+05,4.375955000000000000e+06,2.148916480000000018e+00
5.633510000000000000e+05,4.375955000000000000e+06,2.196906729999999808e+00
5.633530000000000000e+05,4.375955000000000000e+06,2.246546089999999829e+00
5.633550000000000000e+05,4.375955000000000000e+06,2.285230270000000008e+00
5.633570000000000000e+05,4.375955000000000000e+06,2.302281049999999940e+00
5.633590000000000000e+05,4.375955000000000000e+06,2.295293800000000051e+00
5.633610000000000000e+05,4.375955000000000000e+06,2.262820710000000179e+00
5.633630000000000000e+05,4.375955000000000000e+06,2.215404910000000172e+00
5.633650000000000000e+05,4.375955000000000000e+06,2.168289909999999932e+00
5.633670000000000000e+05,4.375955000000000000e+06,2.123282979999999931e+00
5.633690000000000000e+05,4.375955000000000000e+06,2.071373050000000049e+00
5.633710000000000000e+05,4.375955000000000000e+06,2.001158279999999845e+00
5.633730000000000000e+05,4.375955000000000000e+06,1.901988199999999907e+00
5.633750000000000000e+05,4.375955000000000000e+06,1.770270330000000003e+00
5.633770000000000000e+05,4.375955000000000000e+06,1.606130030000000097e+00
5.633790000000000000e+05,4.375955000000000000e+06,1.406502780000000064e+00
5.633810000000000000e+05,4.375955000000000000e+06,1.181886250000000027e+00
5.633830000000000000e+05,4.375955000000000000e+06,9.698409630000000003e-01
5.633850000000000000e+05,4.375955000000000000e+06,8.064870899999999621e-01
5.633870000000000000e+05,4.375955000000000000e+06,6.819394690000000203e-01
5.633890000000000000e+05,4.375955000000000000e+06,5.659314250000000435e-01
5.633910000000000000e+05,4.375955000000000000e+06,4.465496070000000151e-01
5.633930000000000000e+05,4.375955000000000000e+06,3.352883569999999813e-01
5.633950000000000000e+05,4.375955000000000000e+06,2.588809120000000186e-01
5.633390000000000000e+05,4.375957000000000000e+06,1.988546469999999955e+00
5.633410000000000000e+05,4.375957000000000000e+06,1.983966019999999997e+00
5.633430000000000000e+05,4.375957000000000000e+06,2.067807759999999995e+00
5.633450000000000000e+05,4.375957000000000000e+06,2.182353190000000165e+00
5.633470000000000000e+05,4.375957000000000000e+06,2.232579050000000009e+00
5.633490000000000000e+05,4.375957000000000000e+06,2.248518380000000150e+00
5.633510000000000000e+05,4.375957000000000000e+06,2.269885120000000089e+00
5.633530000000000000e+05,4.375957000000000000e+06,2.292140719999999909e+00
5.633550000000000000e+05,4.375957000000000000e+06,2.307518289999999972e+00
5.633570000000000000e+05,4.375957000000000000e+06,2.302824479999999951e+00
5.633590000000000000e+05,4.375957000000000000e+06,2.278754450000000098e+00
5.633610000000000000e+05,4.375957000000000000e+06,2.246160430000000208e+00
5.633630000000000000e+05,4.375957000000000000e+06,2.211211410000000210e+00
5.633650000000000000e+05,4.375957000000000000e+06,2.176097229999999882e+00
5.633670000000000000e+05,4.375957000000000000e+06,2.141026609999999941e+00
5.633690000000000000e+05,4.375957000000000000e+06,2.097616669999999850e+00
5.633710000000000000e+05,4.375957000000000000e+06,2.037572669999999864e+00
5.633730000000000000e+05,4.375957000000000000e+06,1.953563710000000064e+00
5.633750000000000000e+05,4.375957000000000000e+06,1.841473729999999920e+00
5.633770000000000000e+05,4.375957000000000000e+06,1.696152480000000073e+00
5.633790000000000000e+05,4.375957000000000000e+06,1.506834199999999901e+00
5.633810000000000000e+05,4.375957000000000000e+06,1.281840120000000027e+00
5.633830000000000000e+05,4.375957000000000000e+06,1.068609319999999974e+00
5.633850000000000000e+05,4.375957000000000000e+06,9.061778969999999545e-01
5.633870000000000000e+05,4.375957000000000000e+06,7.885620620000000081e-01
5.633890000000000000e+05,4.375957000000000000e+06,6.770358060000000178e-01
5.633910000000000000e+05,4.375957000000000000e+06,5.425234559999999595e-01
5.633930000000000000e+05,4.375957000000000000e+06,4.060725829999999870e-01
5.633950000000000000e+05,4.375957000000000000e+06,3.116086719999999755e-01
5.633350000000000000e+05,4.375959000000000000e+06,2.225786419999999932e+00
5.633370000000000000e+05,4.375959000000000000e+06,2.241990079999999885e+00
5.633390000000000000e+05,4.375959000000000000e+06,2.226409929999999981e+00
5.633410000000000000e+05,4.375959000000000000e+06,2.209075540000000171e+00
5.633430000000000000e+05,4.375959000000000000e+06,2.252207090000000189e+00
5.633450000000000000e+05,4.375959000000000000e+06,2.333146499999999790e+00
