X,Y,Z
5.633710000000000000e+05,4.375947000000000000e+06,1.705561539999999932e+00
5.633730000000000000e+05,4.375947000000000000e+06,1.487680459999999982e+00
5.633750000000000000e+05,4.375947000000000000e+06,1.166849129999999901e+00
5.633770000000000000e+05,4.375947000000000000e+06,8.630472740000000309e-01
5.633630000000000000e+05,4.375949000000000000e+06,1.932510249999999985e+00
5.633650000000000000e+05,4.375949000000000000e+06,1.919029969999999974e+00
5.633670000000000000e+05,4.375949000000000000e+06,1.934583699999999906e+00
5.633690000000000000e+05,4.375949000000000000e+06,2.006783659999999969e+00
5.633710000000000000e+05,4.375949000000000000e+06,1.969400250000000074e+00
5.633730000000000000e+05,4.375949000000000000e+06,1.727457009999999960e+00
5.633750000000000000e+05,4.375949000000000000e+06,1.367124320000000059e+00
5.633770000000000000e+05,4.375949000000000000e+06,1.010145450000000000e+00
5.633790000000000000e+05,4.375949000000000000e+06,7.370993550000000116e-01
5.633810000000000000e+05,4.375949000000000000e+06,5.115737750000000084e-01
5.633550000000000000e+05,4.375951000000000000e+06,1.403769730000000049e+00
5.633570000000000000e+05,4.375951000000000000e+06,1.737232759999999931e+00
5.633590000000000000e+05,4.375951000000000000e+06,2.014027029999999829e+00
5.633610000000000000e+05,4.375951000000000000e+06,2.153138160000000134e+00
5.633630000000000000e+05,4.375951000000000000e+06,2.147155419999999815e+00
5.633650000000000000e+05,4.375951000000000000e+06,2.108826389999999940e+00
5.633670000000000000e+05,4.375951000000000000e+06,2.111400939999999782e+00
5.633690000000000000e+05,4.375951000000000000e+06,2.159549020000000041e+00
5.633710000000000000e+05,4.375951000000000000e+06,2.120067119999999861e+00
5.633730000000000000e+05,4.375951000000000000e+06,1.900915130000000008e+00
5.633750000000000000e+05,4.375951000000000000e+06,1.539583209999999980e+00
5.633770000000000000e+05,4.375951000000000000e+06,1.153890569999999949e+00
5.633790000000000000e+05,4.375951000000000000e+06,8.550346859999999882e-01
5.633810000000000000e+05,4.375951000000000000e+06,6.067059270000000337e-01
5.633830000000000000e+05,4.375951000000000000e+06,3.885531240000000275e-01
5.633850000000000000e+05,4.375951000000000000e+06,2.528212289999999807e-01
5.633470000000000000e+05,4.375953000000000000e+06,1.121756659999999961e+00
5.633490000000000000e+05,4.375953000000000000e+06,1.152593339999999911e+00
5.633510000000000000e+05,4.375953000000000000e+06,1.198294460000000061e+00
5.633530000000000000e+05,4.375953000000000000e+06,1.382178069999999925e+00
5.633550000000000000e+05,4.375953000000000000e+06,1.703485600000000044e+00
5.633570000000000000e+05,4.375953000000000000e+06,1.985200450000000005e+00
5.633590000000000000e+05,4.375953000000000000e+06,2.179472960000000015e+00
5.633610000000000000e+05,4.375953000000000000e+06,2.240654469999999954e+00
5.633630000000000000e+05,4.375953000000000000e+06,2.197353549999999878e+00
5.633650000000000000e+05,4.375953000000000000e+06,2.150917179999999984e+00
5.633670000000000000e+05,4.375953000000000000e+06,2.152783639999999998e+00
5.633690000000000000e+05,4.375953000000000000e+06,2.189421719999999905e+00
5.633710000000000000e+05,4.375953000000000000e+06,2.177317640000000054e+00
5.633730000000000000e+05,4.375953000000000000e+06,2.014557350000000024e+00
5.633750000000000000e+05,4.375953000000000000e+06,1.693945929999999933e+00
5.633770000000000000e+05,4.375953000000000000e+06,1.318801129999999988e+00
5.633790000000000000e+05,4.375953000000000000e+06,9.861641070000000120e-01
5.633810000000000000e+05,4.375953000000000000e+06,7.097576249999999476e-01
5.633830000000000000e+05,4.375953000000000000e+06,4.736234240000000151e-01
5.633850000000000000e+05,4.375953000000000000e+06,3.064404820000000140e-01
5.633870000000000000e+05,4.375953000000000000e+06,2.956297159999999868e-01
5.633890000000000000e+05,4.375953000000000000e+06,3.917137809999999831e-01
5.633410000000000000e+05,4.375955000000000000e+06,1.104388080000000105e+00
5.633430000000000000e+05,4.375955000000000000e+06,1.201489430000000080e+00
5.633450000000000000e+05,4.375955000000000000e+06,1.357253430000000094e+00
5.633470000000000000e+05,4.375955000000000000e+06,1.409946869999999963e+00
5.633490000000000000e+05,4.375955000000000000e+06,1.463946549999999958e+00
5.633510000000000000e+05,4.375955000000000000e+06,1.531361610000000040e+00
5.633530000000000000e+05,4.375955000000000000e+06,1.666012529999999936e+00
5.633550000000000000e+05,4.375955000000000000e+06,1.892213750000000028e+00
5.633570000000000000e+05,4.375955000000000000e+06,2.059722260000000027e+00
5.633590000000000000e+05,4.375955000000000000e+06,2.169215020000000216e+00
5.633610000000000000e+05,4.375955000000000000e+06,2.205237770000000097e+00
5.633630000000000000e+05,4.375955000000000000e+06,2.178700800000000104e+00
5.633650000000000000e+05,4.375955000000000000e+06,2.150598829999999850e+00
5.633670000000000000e+05,4.375955000000000000e+06,2.156147010000000197e+00
5.633690000000000000e+05,4.375955000000000000e+06,2.182544459999999908e+00
5.633710000000000000e+05,4.375955000000000000e+06,2.184298960000000012e+00
5.633730000000000000e+05,4.375955000000000000e+06,2.073963570000000090e+00
5.633750000000000000e+05,4.375955000000000000e+06,1.821728500000000084e+00
5.633770000000000000e+05,4.375955000000000000e+06,1.492868070000000102e+00
5.633790000000000000e+05,4.375955000000000000e+06,1.144449880000000030e+00
5.633810000000000000e+05,4.375955000000000000e+06,8.432733599999999718e-01
5.633830000000000000e+05,4.375955000000000000e+06,5.903506090000000261e-01
5.633850000000000000e+05,4.375955000000000000e+06,3.961950590000000161e-01
5.633870000000000000e+05,4.375955000000000000e+06,3.519516859999999858e-01
5.633890000000000000e+05,4.375955000000000000e+06,3.821628229999999848e-01
5.633390000000000000e+05,4.375957000000000000e+06,1.444369809999999976e+00
5.633410000000000000e+05,4.375957000000000000e+06,1.437521540000000098e+00
5.633430000000000000e+05,4.375957000000000000e+06,1.512274990000000097e+00
5.633450000000000000e+05,4.375957000000000000e+06,1.671089360000000079e+00
5.633470000000000000e+05,4.375957000000000000e+06,1.707053039999999910e+00
5.633490000000000000e+05,4.375957000000000000e+06,1.740334719999999891e+00
5.633510000000000000e+05,4.375957000000000000e+06,1.796047350000000042e+00
5.633530000000000000e+05,4.375957000000000000e+06,1.866871909999999968e+00
5.633550000000000000e+05,4.375957000000000000e+06,1.982264629999999972e+00
5.633570000000000000e+05,4.375957000000000000e+06,2.057648899999999781e+00
5.633590000000000000e+05,4.375957000000000000e+06,2.120409959999999927e+00
5.633610000000000000e+05,4.375957000000000000e+06,2.156612040000000174e+00
5.633630000000000000e+05,4.375957000000000000e+06,2.157180030000000137e+00
5.633650000000000000e+05,4.375957000000000000e+06,2.147727810000000126e+00
5.633670000000000000e+05,4.375957000000000000e+06,2.158491820000000061e+00
5.633690000000000000e+05,4.375957000000000000e+06,2.172722149999999797e+00
5.633710000000000000e+05,4.375957000000000000e+06,2.171528299999999856e+00
5.633730000000000000e+05,4.375957000000000000e+06,2.107447590000000037e+00
5.633750000000000000e+05,4.375957000000000000e+06,1.937638900000000053e+00
5.633770000000000000e+05,4.375957000000000000e+06,1.677745089999999939e+00
5.633790000000000000e+05,4.375957000000000000e+06,1.344950579999999896e+00
5.633810000000000000e+05,4.375957000000000000e+06,1.018881499999999996e+00
5.633830000000000000e+05,4.375957000000000000e+06,7.369778949999999940e-01
5.633850000000000000e+05,4.375957000000000000e+06,5.077642919999999505e-01
5.633870000000000000e+05,4.375957000000000000e+06,4.068303999999999809e-01
5.633890000000000000e+05,4.375957000000000000e+06,3.883096120000000262e-01
